拟 声 词 大 全
    【定义】拟声词又称为象声词、摹声词、状声词。它是摹拟自然界声音的一种词汇。在汉语里，它只是汉字当成“音标”符号，用来表音，而和字义无关。在文章中用到象声词时，一般都要使用双引号。如摹仿流水声的“潺潺”，摹仿布谷鸟叫声的“布谷”。准确地使用象声词，将会使我们说话、习文的生动性、形象性大大增强。
    【作用】运用拟声词可以使描写生动逼真，使人如闻其声，如入其境；运用拟声词还可以形象地描摹人物的心情或情绪。
    【运用】1、因人而异，拟声词的选用要充分体现人物的个性特征，不同年龄、不同性别、不同身份不同性格的人往往采用不同的拟声词。2、因情而异，拟声词对人物感情的描绘有其独特作用，例如人们的笑声就可以分好多种，有微笑、欢笑、大笑、讥笑、讪笑、冷笑、苦笑等等；哭声也有好多种，有抽泣、大哭、哭嚎等。运用不同的拟声词便能准确地把这些带有不同感情的笑或哭等声音描绘出来。3、因境而异，客观环境（包括时、地）的不同或变化也是选用拟声词是要注意的因素，否则就不可能真实地描绘出独特的环境。4、因物而异，不同的东西发出的声音也不相同。拖拉机的声音是“突突突突”的，独轮车是吱吱呀呀，猫叫声是“喵喵”的，狗叫声是“汪汪”的。
词语	拟声类别	词类	释义
哝哝	【人声】	　	用来写小声交谈或自言自语。
呕哑	【人声】	　	强笑声
呕哑	【人声】	　	哀声
呕哑	【人声】	　	喧闹声
啪	【人声】	　	如：啪，打了一耳光。
怦	【人声】	象声词	形容心跳，如：怦然心动、心里怦怦地跳着。
怦怦	【人声】	　	用来写心跳的声音。
扑差 	【人声】	　	滑倒时的响声
扑哧	【人声】	AB型	用来写笑声、或水、气挤出的声音。如：扑哧一笑；扑哧一声，皮球撒了气了。
扑哧	【人声】	象声词	又噗嗤，形容笑声，如：扑哧一笑。
扑通 	【人声】	象声词	跳水时的响声
扑通通	【人声】	ABB型	水中手脚击水发出的声音
噗	【人声】	象声词	吹气的声音。如：噗，一口气吹灭了灯。
嘁[qī]嘁喳[chā]喳	【人声】	象声词	小声说话声音。
嘁嘁	【人声】	　	用来写小声交谈或自言自语。
气喘吁吁	【人声】	　	吁吁：指张口呼吸的声音。形容呼吸短促。 
嗾	【人声】	　	指使狗时发出的声音。
呔	【人声】	　	使对方注意的喝声。
堂堂正正	【人声】	　	堂堂：浩大的样子；正正：划一的样子。原形容强大划一的样子，现也形容光明正大。也形容身体威武，仪表出众。
啕啕	【人声】	　	喧闹声
突突	【人声】	象声词	心跳声，摩托车声
哇啦	【人声】	　	象声词，形容吵闹声
呜里哇啦	【人声】	ABCD型	用来写大家听不懂的话的声音
哓哓	【人声】	AA型	争辩声
哮	【人声】	　	急促喘气的声音
啸	【人声】	　	人撮口发出长而清脆的声音
汹汹	【人声】	　	争辩声
咻咻	【人声】	AA型	用来写喘息的声音。
吁[xū]吁	【人声】	象声词	形容出气的声音，如：气喘吁吁。
吁[yū]	【人声】	象声词	吆喝牲口的声音。
吁吁	【人声】	AA型	强出气声音
嘘唏	【人声】	　	哀声
嘘嘘	【人声】	AA型	用来写提醒别人小声说话的声音。
噱	【人声】	　	笑声
鸭鸭	【人声】	AA型	　
牙牙	【人声】	象声词	形容婴儿学说话的声音，如：牙牙学语。
哑	【人声】	象声词	哑哑，形容小儿学语声等。
咽咽	【人声】	　	哀声
咿[yī]唔[wú]	【人声】	象声词	形容读书的声音。
咿[yī]哑	【人声】	象声词	或咿呀，形容小孩子学话的声音。
咿唔	【人声】	　	读书声
咿哑	【人声】	　	婴儿语声
矣欠[ǎi]乃	【人声】	象声词	　
喁喁	【人声】	　	用来写小声交谈或自言自语。
喳[chā]喳	【人声】	象声词	用来写小声交谈或自言自语。如：两个人打喳喳
喳[zhā]	【人声】	象声词	清朝仆役对主人的应诺声。
吧	【树声】	　	如：吧的一声，树枝折断了。(阴平调，以下均同)
梆[bāng]	【树声】	象声词	敲木头的声音。
梆梆梆	【树声】	　	敲打木头的声音。如：梆梆梆,传来敲打木头的声音。
嘎[gā]巴	【树声】	象声词	或嘎叭，形容树枝等物体折断的声音。如：大树嘎叭的一声被风吹折了。
喀嚓	【树声】	象声词	用来写物体断裂的声音。喀嚓一声，树枝被风吹折[shé]了，也作咔嚓。
坷差 	【树声】	　	树枝断裂时的响声
刷	【树声】	象声词	又唰，形容迅速擦过去的声音，如：风刮得树叶唰唰地响。
簌[sù]簌	【树声】	象声词	形容风吹叶子等的声音。
淅[xī]沥[lì]	【树声】	象声词	形容轻微的落叶声等。
叭卜	【水声】	AB型	水流动声
拔拉	【水声】	AB型	水流动声
吧唧	【水声】	　	如：吧唧的一声，木板倒在水里。
拨剌[là]	【水声】	象声词	形容鱼在水里跳跃声音。
卜答 	【水声】	　	水开时的响声
卜几 	【水声】	　	吱水的响声
卜通卜通	【水声】	ABAB型	游泳时，手脚击水的声音。
孱孱	【水声】	AA型	用来写水流动或东西滚动的声音。
潺	【水声】	象声词	水声潺潺。
潺潺	【水声】	AA型	溪水、泉水流动声
淙淙	【水声】	象声词	用来写水流动或东西滚动的声音。如：泉水淙淙。
滴答	【水声】	AB型	用来写水滴落下或钟表摆动的声音。 
滴滴答	【水声】	AAB型	　
滴滴答答	【水声】	AABB型	　
咕咚	【水声】	　	用来写重东西落下或大口喝水的声音。 
咕嘟	【水声】	象声词	液体沸腾、水流涌出或大口喝水的声音。如：锅里的粥咕嘟响；泉水咕嘟地往外冒。
咕嘟咕嘟	【水声】	ABAB型	如：锅咕嘟咕嘟的开起来。
咕叽	【水声】	　	水压向外排的声音。
咕唧	【水声】	　	水压向外排的声音。
咕噜	【水声】	象声词	水流动的声音。如：咕噜咕噜。
汩[gǔ]汩	【水声】	象声词	水流动的声音。如：河水汩汩地流入田里。
汩汩	【水声】	　	用来写水流动或东西滚动的声音。
哗	【水声】	象声词	如：哗的一声，水泼下来了。
哗（哗）	【水声】	象声词	用来写水流动或东西滚动的声音。如：流水哗哗地响。 
哗哗	【水声】	AA型	用来写水流动或东西滚动的声音。
哗哗啦啦	【水声】	AABB型	　
哗啦哗啦	【水声】	ABAB型	用来写水流动的声音。
澎咚 	【水声】	　	往水扔砖头的响声
汹汹	【水声】	　	形容波涛的声音
汹涌澎湃	【水声】	　	原形容水势广阔的样子。后形容事物的宽广壮大，或行进的人流气势浩荡。 
哈	【笑声】	象声词	形容笑声，大多叠用，如：哈哈大笑。
哈哈	【笑声】	AA型	用来写笑声，一般来写大笑。 
呵呵	【笑声】	象声词	用来写笑声，如：呵呵地笑起来。 
呵呵	【笑声】	　	笑声
嘿嘿	【笑声】	象声词	形容笑声。如：他嘿嘿冷笑一声。
哼哧	【笑声】	象声词	形容粗重地喘息，如骡子累得哼哧地喘气。
噗哧	【笑声】	　	笑声。如：他噗哧一声笑了。
唏唏	【笑声】	　	笑声
嘻嘻	【笑声】	　	用来写笑声，一般来写俏皮地笑，偷笑。
哑哑	【笑声】	　	笑声
咿喔	【笑声】	　	强笑声
咿哑	【笑声】	　	笑声
滴答	【雨声】	AB型	用来写水滴落下或钟表摆动的声音。 
滴沥	【雨声】	象声词	雨水下滴的声音。
哗啦	【雨声】	象声词	如：雨哗啦地下，也可以说哗啦啦。
哗啦啦	【雨声】	ABB型	用来写水流动的声音。
哗啦啦啦	【雨声】	ABBB型	用来写水流动的声音。
噼里啪啦	【雨声】	　	雨点敲击房顶
唰唰	【雨声】	　	如：小雨唰唰下个不停。
安安稳稳	【状态词】	　	形容非常安定稳妥。
病病歪歪	【状态词】	　	形容病体衰弱无力的样子。 
大大落落	【状态词】	　	形容态度大方。亦形容马马虎虎，毫不在意。
匪匪翼翼	【状态词】	　	匪匪：马行走不停的样子；翼翼：有次序的样子。形容车马行走时阵容划一、威武。 
沸沸扬扬	【状态词】	　	沸沸：水翻腾的样子；扬扬：喧哗、翻动的样子。象沸腾的水一样喧哗。形容人声喧哗。 
纷繁攘攘	【状态词】	　	纷繁：众多；攘攘：杂乱的样子。众多且杂乱。形容人群杂乱。 
纷繁扬扬	【状态词】	　	形容雪花飘落。 
风风火火	【状态词】	　	形容急赶忙忙，冒冒失失的样子。
风风雨雨	【状态词】	　	不时地刮风下雨。比喻障碍重重。又比喻时期动乱，谣言纷传。 
鬼头鬼脑	【状态词】	　	祟：古人想象中的鬼怪或鬼怪出而祸人。指行动偷偷摸摸，不光明正大。
轰轰烈烈	【状态词】	AABB型	轰轰：象声词，形容宏大的声响；烈烈：火焰炽盛的样子。形容事业的兴隆。也形容气势浩荡，魄力雄伟。
浑浑噩噩	【状态词】	　	浑浑：深沉的样子；噩噩：严肃的样子。原意是淳厚而严正。现形容浑浑噩噩，愚蠢无知。
铿锵有力	【状态词】	　	声音响亮有力。 
空谷传声	【状态词】	　	人在山谷里发出声音，立可听到回声。 
口碑载道	【状态词】	　	称颂的声音充满了道路（口碑：众人口头称颂跟文字刻在石碑上一样）。 
口口声声	【状态词】	　	每一次张开口，每一次发出声音，说的都是同样的话。形容把某一说法经常挂在口头。 
磊磊落落	【状态词】	　	逐个清楚的样子。也形容襟怀坦荡。
烈烈轰轰	【状态词】	　	烈烈：火焰炽盛的样子；轰轰：象声词，形容宏大的声响。形容事业的兴隆。也形容气势浩荡，魄力雄伟。
林林总总	【状态词】	　	形容众多。 
龙吟虎啸	【状态词】	　	龙、虎的吼叫，形容人歌啸或吟咏声音的嘹亮。 
锣鼓喧天	【状态词】	　	锣鼓的声音震天响。 
落落穆穆	【状态词】	　	落落：冷落的样子；穆穆：淡薄的样子。形容待人淡漠。
明明赫赫	【状态词】	　	形容光亮耀眼，气势显赫。 
模模糊糊	【状态词】	　	模含糊糊，不逼真。 
默默无闻	【状态词】	　	不声不响，不为人所知（默默：没有声音；无闻：不曾听说）。形容不出名或不为人们所注意）。 
袅袅婷婷	【状态词】	　	袅袅：优美貌；婷婷：美妙貌。形容女子姿势优美。
婆婆妈妈	【状态词】	　	形容人动作琐细，言语罗唆。也形容人感情脆弱。
期期艾艾	【状态词】	　	形容口吃的人吐辞反复，说话不流利。
泣不成声	【状态词】	　	抽泣哽噎发不出声音来，形容十分悲痛。 
千千万万	【状态词】	　	形容为数极多。
巧舌如簧	【状态词】	　	灵巧的舌头好像簧片，能发出动听的声音。形容能说会道。 
轻手蹑脚	【状态词】	　	手脚动作声音很轻，尽量少出声音。 
绕梁三日	【状态词】	　	形容（美妙的声音）在屋梁上回旋不绝。 
人声鼎沸	【状态词】	　	人群声音嘈杂，就像锅子里的水在沸腾一样（鼎沸：鼎水沸腾，原比喻局势不安定，现比喻声音嘈杂）。 
如簧之舌	【状态词】	　	好像簧片一样能发出动听声音的舌头。形容能说会道。 
如泣如诉	【状态词】	　	好像在哭泣，又好像在哀诉。形容悲切婉转的声音。 
如闻其声，如见其人	【状态词】	　	像听到他的声音，像看到他本人一样。比喻对人物的刻画和描写非常生动逼真。 
三三两两	【状态词】	　	三个两个地在一同。形容人数不多。
三三五五	【状态词】	　	三个一群，五个一伙。
山鸣谷应	【状态词】	　	声音在山谷中引起回响。多比喻彼此投合、互相呼应。 
善善恶恶	【状态词】	　	称誉善事，憎恨坏事。形容人区别善恶，爱憎清楚。
生气勃勃	【状态词】	　	形容草木苍翠繁茂。也形容气势美妙蓬勃。 
声色俱厉	【状态词】	　	（说话时）声音和脸色都很严厉。 
声嘶力竭	【状态词】	　	声音嘶哑，气力用尽。形容拼命地呼号、叫喊。 
声应气求	【状态词】	　	应：应和，共鸣；求：寻找。形容朋友之间意气相投，象相同的声音互相共鸣、相同的气味互相融合一样。 
石破天惊	【状态词】	　	原形容演奏箜篌，声音激荡，奇特，出人意外。现多比喻诗文、议论、演唱或事件使人震撼。 
是是非非	【状态词】	　	把对的以为是对的，把错的以为是错的。比喻是非、好坏分得十分分明。
陶陶兀兀	【状态词】	　	形容沉溺于酒，纵容傲慢。
铁中铮铮	【状态词】	　	铮铮：金属器皿相碰的声音。金属敲起来当当响的材料。比喻出色人物。 
同声相应，同气相求	【状态词】	　	相近的声音互相应和，相同的气味互相融合。比喻志趣相同的人互相呼应，自然结合。 
偷偷摸摸	【状态词】	　	形容瞒着他人做事，不敢让他人晓得。
吞吞吐吐	【状态词】	　	想说，但又不痛痛快快地说。形容说话有顾忌，不流利。也比喻凑合，勉强。
万籁俱寂	【状态词】	　	一点声响也没有（万籁：自然界万物发出的声响；俱寂：都静下来）。多形容自然环境的安静、幽静或冷静。 
万籁无声	【状态词】	　	一点声音都没有。多形容自然环境的清静或冷静。 
唯唯否否	【状态词】	　	唯唯：答复时表示同意的应声；否否：他人说否，自己也跟着说否。形容胆怯怕事，一味依从。
瓮声瓮气	【状态词】	　	形容声音粗重。 
无病呻吟	【状态词】	　	没有病痛而故意发出表示痛苦的声音。比喻没有真情实感而强作感慨。 
无声无臭	【状态词】	　	没有声音，没有气味。比喻默默无闻，也比喻对外界没有什么影响。 
熙熙攘攘	【状态词】	　	熙熙：和乐的样子；攘攘：纷乱的样子。形容人来人往，十分繁华拥堵。 
弦外之音	【状态词】	　	弦乐器的线上发出的声音以外的声音。比喻在说话中间接透露而不是直接说明的意思。 
响彻云霄	【状态词】	　	形容声音响亮，穿透云层，直达高空。彻：贯透。 
响遏行云	【状态词】	　	声音响彻云霄，阻挡飘动的云彩（遏：阻止）。形容歌声嘹亮。 
蝎蝎螫螫	【状态词】	　	形容人婆婆妈妈，在小事情上过火地表示关怀、怜惜。 
心心念念	【状态词】	　	心心：指一切的心机；念念：指一切的念头。心里老是想着。指想做某件事或得到某种东西。 
形形色色	【状态词】	　	形形：原指生出这种形体；色色：原指生出这种颜色。指形形色色，品种很多。 
煦煦孑孑	【状态词】	　	指小仁小义。 
鸦默雀静	【状态词】	　	非常静。形容人们的安静或人群聚集、活动的场所的安静。 
鸦雀无声	【状态词】	　	连乌鸦麻雀的声音都没有。比喻非常静。 
牙牙学语	【状态词】	　	咿咿呀呀地学说话（牙牙：摹拟婴儿学说话的声音）。 
洋洋洒洒	【状态词】	　	洋洋：浩大、众多的样子；洒洒：明白、流利的样子。形容文章或说话丰厚明快，时断时续。
音容宛在	【状态词】	　	声音和容貌如在眼前。多用于对死者的怀念，吊唁。 
音容笑貌	【状态词】	　	人的声音、容貌和神态。 
悠悠荡荡	【状态词】	　	形容摇摇摆晃，飘浮不定。
悠悠忽忽	【状态词】	　	形容悠闲懒散或神志恍惚的样子。
有声有色	【状态词】	　	有声音，有色彩。形容说话、作文生动精彩，表现出色。 
余音袅袅	【状态词】	　	留下来的声音悠扬婉转，延绵不绝（袅袅：轻扬的样子）。 
余音绕梁	【状态词】	　	留下的声音环绕屋梁旋转不去。形容歌音美妙动听，久久留在记忆中。 
鱼鱼雅雅	【状态词】	　	形容车驾前行威仪整肃的样子。 
元元本本	【状态词】	　	元元：探究原始；本本：寻求基本。原指探究事物的根由内幕。后指细致叙说事情的全部原因和整个过程，一点.. 原本来本 从头到尾按原来的样子。指细致叙说事情的全部原因和整个过程，一点不漏。 
怨声载道	【状态词】	　	怨恨的声音充满道路。形容人民群众普遍的强烈的不满和怨恨。 
战战兢兢	【状态词】	　	战战：恐惧的样子；兢兢：当心慎重的样子。形容十分惧怕而轻轻发抖的样子。也形容当心慎重的样子。
振聋发聩	【状态词】	　	见“发聋振聩”。声音大得连聋子都听得见（聩：耳聋）。比喻言论惊人，影响深远。 
震耳欲聋	【状态词】	　	几乎要震聋耳朵，形容声音极大。 
震天动地	【状态词】	　	震动了天地。形容意义重大，声势浩大，也形容声音巨大 

